logic,strategy,total_par2,avg_par2,solved,solved_pct,n
QF_BV,VBS,55608.30,18.536,2596,86.5%,3000
QF_BV,MEDLEY,70899.41,23.633,2461,82.0%,3000
QF_BV,COMBINED_SBS,77842.37,25.947,2400,80.0%,3000
QF_BV,SBS,77842.37,25.947,2400,80.0%,3000
QF_BV,RANDOM,94014.12,31.338,2279,76.0%,3000
QF_LIA,VBS,28880.21,9.627,2818,93.9%,3000
QF_LIA,MEDLEY,45788.71,15.263,2679,89.3%,3000
QF_LIA,COMBINED_SBS,37141.82,12.381,2765,92.2%,3000
QF_LIA,SBS,37141.82,12.381,2765,92.2%,3000
QF_LIA,RANDOM,106877.06,35.626,2180,72.7%,3000
QF_NRA,VBS,35170.56,11.724,2739,91.3%,3000
QF_NRA,MEDLEY,50695.58,16.899,2617,87.2%,3000
QF_NRA,COMBINED_SBS,56533.15,18.844,2557,85.2%,3000
QF_NRA,SBS,60868.79,20.290,2607,86.9%,3000
QF_NRA,RANDOM,73605.68,24.535,2446,81.5%,3000
