logic,strategy,total_par2,avg_par2,solved,solved_pct,total
QF_BV,VBS,36538.797999999995,12.179599333333334,2462,82.06666666666666,3000
QF_BV,GRACKLE,38314.626000000055,12.771542000000002,2452,81.73333333333333,3000
QF_BV,CSBS,43608.27000000019,14.536090000000002,2336,77.86666666666666,3000
QF_BV,SBS,135553.37999999954,45.18446,767,25.566666666666666,3000
QF_LIA,VBS,20817.6230000002,6.939207666666666,2705,90.16666666666666,3000
QF_LIA,GRACKLE,24657.155000000377,8.219051666666667,2671,89.03333333333333,3000
QF_LIA,CSBS,25405.10000000037,8.468366666666666,2638,87.93333333333334,3000
QF_LIA,SBS,59070.52999999922,19.690176666666666,2062,68.73333333333333,3000
QF_NRA,VBS,21020.152000000126,7.006717333333334,2688,89.60000000000001,3000
QF_NRA,GRACKLE,24017.534000000127,8.005844666666666,2674,89.13333333333333,3000
QF_NRA,CSBS,40864.03399999964,13.621344666666664,2352,78.4,3000
QF_NRA,SBS,163312.41899999994,54.437473,301,10.033333333333333,3000
