experiment,variant_idx,value,fold,total,medley_solved,medley_par2,vbs_solved,vbs_par2,csbs_solved,csbs_par2,sbs_solved,sbs_par2
ABL-MDY-H05,0,0.01,0,1783,1513,33668.84,1654,17124.33,1605,23148.60,1625,20824.79
ABL-MDY-H05,0,0.01,1,1842,1414,56792.94,1668,26829.59,1604,34402.41,1624,32401.92
ABL-MDY-H05,0,0.01,2,1786,1399,51478.67,1577,29398.83,1401,49877.92,1435,47158.31
ABL-MDY-H05,0,0.01,3,1813,1413,54058.09,1618,28136.80,1513,40265.46,1543,40309.84
ABL-MDY-H05,0,0.01,4,1776,1501,37591.51,1636,18169.51,1540,35487.41,1545,35158.11
ABL-MDY-H05,1,0.03,0,1783,1543,30215.41,1654,17124.33,1605,23148.60,1625,20824.79
ABL-MDY-H05,1,0.03,1,1842,1549,41462.51,1668,26829.59,1604,34402.41,1624,32401.92
ABL-MDY-H05,1,0.03,2,1786,1424,48110.91,1577,29398.83,1401,49877.92,1435,47158.31
ABL-MDY-H05,1,0.03,3,1813,1463,47850.77,1618,28136.80,1513,40265.46,1543,40309.84
ABL-MDY-H05,1,0.03,4,1776,1550,33076.77,1636,18169.51,1540,35487.41,1545,35158.11
ABL-MDY-H05,2,0.07,0,1783,1565,27897.30,1654,17124.33,1605,23148.60,1625,20824.79
ABL-MDY-H05,2,0.07,1,1842,1581,37246.65,1668,26829.59,1604,34402.41,1624,32401.92
ABL-MDY-H05,2,0.07,2,1786,1413,49114.05,1577,29398.83,1401,49877.92,1435,47158.31
ABL-MDY-H05,2,0.07,3,1813,1495,43419.87,1618,28136.80,1513,40265.46,1543,40309.84
ABL-MDY-H05,2,0.07,4,1776,1541,34752.76,1636,18169.51,1540,35487.41,1545,35158.11
ABL-MDY-H05,3,0.15,0,1783,1549,29598.81,1654,17124.33,1605,23148.60,1625,20824.79
ABL-MDY-H05,3,0.15,1,1842,1566,39699.25,1668,26829.59,1604,34402.41,1624,32401.92
ABL-MDY-H05,3,0.15,2,1786,1398,50852.13,1577,29398.83,1401,49877.92,1435,47158.31
ABL-MDY-H05,3,0.15,3,1813,1469,45914.53,1618,28136.80,1513,40265.46,1543,40309.84
ABL-MDY-H05,3,0.15,4,1776,1560,31923.18,1636,18169.51,1540,35487.41,1545,35158.11
ABL-MDY-H05,4,0.3,0,1783,1530,31879.04,1654,17124.33,1605,23148.60,1625,20824.79
ABL-MDY-H05,4,0.3,1,1842,1533,43418.09,1668,26829.59,1604,34402.41,1624,32401.92
ABL-MDY-H05,4,0.3,2,1786,1401,50519.33,1577,29398.83,1401,49877.92,1435,47158.31
ABL-MDY-H05,4,0.3,3,1813,1405,54405.53,1618,28136.80,1513,40265.46,1543,40309.84
ABL-MDY-H05,4,0.3,4,1776,1540,32930.01,1636,18169.51,1540,35487.41,1545,35158.11
